Sentences,Broken Sentences,OpinionTerm1,Predicted Opinion Term 1,Aspect Category1,AspectPolarity1 ,OpinionTerm2,Predicted Opinion Term 2,Aspect Category2,Aspectpolarity2
excellent service....very professional electrician they have,"['excellent service', '.very professional electrician they have']",excellent service,excellent service,Company_Service,positive,professional electricians,professional electrician,service_person_attitude,positive 
nice and good app,['nice and good app'],good app,good app,App_Utility,positive,,,,
came on time work proeffetionaly complete,"['came on time', 'work proeffetionaly complete']",on time,on time,service_schedule,positive,work proeffetionaly,work proeffetionaly,service_person_attitude,positive 
first time user and very satisfied.,"['first time user ', ' very satisfied']",first time user,first time,App_Functionality,positive,satisfied,very satisfied,Company_Service,positive
nice facilities and rates is to much high,"['nice facilities ', ' rates is to much high']",nice facilities,nice facilities,Company_Service,positive,much high,to much,cost,negative 
Professional service. Prompt too!,"['Professional service', ' Prompt too!']",professional service,professional service,service_quality,positive,prompt,,service_quality,positive
on time & professionally done job,"['on time ', ' professionally done job']",on time,on time,service_schedule,positive,professionally done job,done job,service_quality,positive
Very Very Helpful and Useful . Excellent Experience,"['Very Very Helpful and Useful ', ' Excellent Experience']",helpful,very helpful,App_Utility ,positive,excellent experience,excellent experience,Company_Service,positive
great helping hand. economical.,"['great helping hand', ' economical']",helping hand,helping hand,Company_Service,positive,economical,,cost,positive
"Very helpful, very fast service","['Very helpful', ' very fast service']",helpful,very helpful,App_Utility ,positive,fast service,fast service,Company_Service,positive
"easy to use , good technicians","['easy to use ', ' good technicians']",easy to use,,App_UI,positive,good technicians,good technicians,service_person_attitude,positive
always late,['always late'],late,,service_schedule,negative ,,,,
ya its really good service.,"['ya its really good service', '']",good service,good service,Company_Service,positive,,,,
very disappointing experience.. they don't value time..,"['very disappointing experience', "" they don't value time""]",disappointing experience,disappointing experience,Company_Service,negative ,,n't value,,
"Excellent, prompt Service.","['Excellent, prompt Service']",prompt service,prompt service,Company_Service,positive,,,,
good experience in home service,"['good experience ', ' home service']",good experience,good experience,Company_Service,positive,,home service,,
very good service.,['very good service'],good service,good service,Company_Service,positive,,,,
good customer service I like it tq,"['good customer', 'service I like it tq']",customer service,good customer,Customer_Support,positive,,service i,,
Excellent service provided on time alongwith relevant service providers,"['Excellent service', 'provided on time alongwith relevant service providers']",excellent service,excellent service,Company_Service,positive,on time,on time,service_schedule,positive 
Tremendous job by urbanclap,['Tremendous job by urbanclap'],tremendous job,tremendous job,Company_Service,positive,,,,
"very easy, convenient and effective!","['very easy', ' convenient and effective!']",easy,very easy,App_UI,positive,effective,and effective,Company_Service,positive
Prompt and Professional,['Prompt and Professional'],professional,and professional,service_person_attitude,positive,,,,
good service,['good service'],good service,good service,Company_Service,positive,,,,
Excellent service given by urban team nice work,"['Excellent service given ', ' urban team nice work']",excellent service,excellent service,Company_Service,positive,nice work,urban team,service_quality ,positive
UrbanClap is  lifesaver for all services!,"['UrbanClap is lifesaver ', ' all services!']",lifesaver,,Company_Service,positive,,all services,,
very useful app,['very useful app'],useful app,useful app,App_Utility,positive,,,,
Great Service Personnel... Rest assured.,"['Great Service Personnel', '. Rest assured']",great service,great service,service_quality,positive,,,,
it's a very good app well and experienced person,"[""it's a very good app well "", ' experienced person']",good app,good app,App_Utility,positive,experienced person,experienced person,service_person_attitude,positive
great professional service,['great professional service'],professional service,professional service,Company_Service,positive,,,,
expert staff...good service.,"['expert staff', '.good service']",expert staff,expert staff,service_person_attitude,positive,good service,good service,Company_Service,positive
Excellent app. No complaints so far.,"['Excellent app', ' No complaints so far']",excellent app,excellent app,App_Utility,positive,,no complaints,,
very very bad service,['very very bad service'],bad service,bad service,Company_Service,negative ,,,,
Very useful and good professionals,"['Very useful ', ' good professionals']",useful,very useful,App_Utility,positive,good professionals,good professionals,service_person_attitude,positive
excellent app and excellent service,"['excellent app ', ' excellent service']",excellent app,excellent app,App_Utility,positive,excellent service,excellent service,Company_Service,positive
Great service. Probably the best.,"['Great service', ' Probably the best']",great service,great service,Company_Service,positive,,,,
I like this app and quick service,"['I like this app ', ' quick service']",app,this app,App_Utility,positive,quick service,quick service,Company_Service,positive
Good idea for urban home families,"['Good idea ', ' urban home families']",good idea,good idea,App_Utility,positive,,urban home,,
Wonderful experience.,['Wonderful experience'],wonderful experience,wonderful experience,Company_Service,positive,,,,
Very professional sevices.,['Very professional sevices'],professional sevices,professional sevices,Company_Service,positive,,,,
very useful app. People are very professional.,"['very useful app', ' People are very professional']",useful app,useful app,App_Utility,positive,professional,very professional,service_person_attitude ,positive
good professionals and good service excellent,"['good professionals ', ' good service excellent']",good professionals,good professionals,service_person_attitude ,positive,good service,good service,Company_Service,positive
"Useless app, wasted  one hour for otp","['Useless app', ' wasted one hour for otp']",useless app,useless app,App_Utility,negative ,otp,one hour,App_Functionality,negative 
Very nice experience,['Very nice experience'],nice experience,nice experience,Company_Service,positive,,,,
excellent cleaning done... very dedicated,"['excellent cleaning done', '. very dedicated']",excellent cleaning,excellent cleaning,service_quality,positive,dedicated,very dedicated,service_person_attitude,positive
"Perfect service and good response, superb!!!","['Perfect service and good response', ' superb!!!']",perfect service,perfect service,Company_Service,positive,good response,,Customer_Support,positive 
Good experience .professional service.,['Good experience .professional service'],good experience,good experience,Company_Service,positive,professional service,,Company_Service,positive
Very helpful when you are in urgent need .,"['Very helpful when you are ', ' urgent need']",helpful,very helpful,Company_Service,positive,urgent need,urgent need,service_schedule ,positive
was a fantastic service keep it up,"['was a fantastic service', 'keep it up']",fantastic service,fantastic service,Company_Service,positive,,,,
Excellent service provide,['Excellent service provide'],excellent service,excellent service,Company_Service,positive,,,,
very professional,['very professional'],professional,very professional,service_person_attitude,positive,,,,
Fantastic service,['Fantastic service'],fantastic service,fantastic service,Company_Service,positive,,,,
5stars to urban clap.very good service,"['5stars to urban clap', 'very good service']",5stars to utban,urban clap,Company_Service,positive,good service,good service,Company_Service ,positive
Awesome service Team UC! Keep it up!,"['Awesome service', 'Team UC ! Keep it up !']",awesome service,awesome service,Company_Service,positive,,team uc,,
had great experience in all segments,"['had great experience ', ' all segments']",great experience,great experience,Company_Service,positive,,all segments,,
Excellent service. Worth every penny.,"['Excellent service', ' Worth every penny']",excellent service,excellent service,Company_Service,positive,worth every penny,every penny,cost,positive
Prompt and perfect service,['Prompt and perfect service'],perfect service,perfect service,service_quality,positive,,,,
Timely response. Excellent job execution.,"['Timely response', ' Excellent job execution']",timely response,timely response,Customer_Support,positive,excellent job execution,excellent job,service_quality,positive
It was a good experience.,"['It was a good experience', '']",good experience,good experience,Company_Service,positive,,,,
like the services,['like the services'],services,the services,Company_Service,positive,,,,
Excellent Servicing of Split Inverter AC.,"['Excellent Servicing', 'of Split Inverter AC']",excellent servicing,excellent servicing,service_quality,positive,,of split,,
no problems full solutions.,['no problems full solutions'],full solutions,no problems,Company_Service,positive,,,,
convenient app,['convenient app'],convenient app,convenient app,App_UI,positive,,,,
Amazing Service App,['Amazing Service App'],amazing service,amazing service,Company_Service,positive,,,,
nice service in one click,"['nice service ', ' one click']",nice service,nice service,Company_Service,positive,one click,one click,App_Functionality,positive
had a very good experience.,"['had a very good experience', '']",good experience,good experience,Company_Service,positive,,,,
good service,['good service'],good service,good service,Company_Service,positive,,,,
easy and effective,['easy and effective'],effective,and effective,App_UI,positive,effective,,Company_Service,positive
no customer care option,['no customer care option'],customer care,no customer,App_UI,negative ,,,,
excellent service,['excellent service'],excellent service,excellent service,Company_Service,positive,,,,
Excellent work UrbanClap team,['Excellent work UrbanClap team'],excellent work,excellent work,Company_Service,positive,,,,
Very user friendly ,['Very user friendly'],user friendly,user friendly,App_UI,positive,,,,
excellent service for my AC,"['excellent service ', ' my AC']",excellent service,excellent service,Company_Service,positive,,,,
"professional, neat and clean","['professional', ' neat and clean']",professional,,service_person_attitude,positive,clean,and clean,service_person_attitude,positive
great place to seek best guys,"['great place', 'to seek best guys']",great place,great place,App_Utility,positive,,best guys,,
very user friendly and cost effective,"['very user friendly ', ' cost effective']",user friendly,user friendly,App_UI,positive,cost effective,cost effective,cost,positive
good service provided,['good service provided'],good service,good service,Company_Service,positive,,,,
The massage and ac servicing are good.,"['The massage ', ' ac servicing are good']",,the massage,service_quality,positive,ac servicing,ac servicing,service_quality,positive
Good one. Trustable than the local service providers.,"['Good one', ' Trustable than the local service providers']",good one,,Company_Service,positive,trustable,local service,Company_Service ,positive
Very professional with positive attitude and smile.,"['Very professional with positive attitude ', ' smile']",positive attitude,positive attitude,service_person_attitude ,positive,,,,
superb concept.luxury service feeling at home,"['superb concept', 'luxury service feeling at home']",superb concept,superb concept,App_Utility,positive,luxury service,luxury service,Company_Service,positive
very good professional technician,['very good professional technician'],good professional,good professional,service_person_attitude ,positive,,,,
charge extra money for 5 to 7 min,"['charge extra money ', ' 5 to 7 min']",extra money,extra money,cost,negative ,5 to 7 min,7 min,service_schedule ,negative 
"Good service, skilled personnel.","['Good service', ' skilled personnel']",good service,good service,Company_Service,positive,skilled personnel,skilled personnel,service_person_attitude ,positive
fabulous services,['fabulous services'],fabulous services,fabulous services,Company_Service,positive,,,,
very very fraud AC repair workers .dont believe,"['very very fraud AC repair workers ', 'dont believe']",fraud,very fraud,Company_Service,negative ,,,,
No good tutor is available,"['No good tutor', 'is available']",good tutor,good tutor,Company_Service,negative ,,is available,,
Great experience with UrbanClap,['Great experience with UrbanClap'],great experience,great experience,Company_Service,positive,,,,
good service provided by urbanclap.,"['good service provided ', ' urbanclap']",good service,good service,Company_Service,positive,,,,
not available in many area,"['not available ', ' many area']",not available,not available,Company_Service,negative ,,many area,,
good service and done before scheduled time,"['good service ', ' done before scheduled time']",good service,good service,Company_Service,positive,scheduled time,scheduled time,service_schedule,positive
good service,['good service'],good service,good service,Company_Service,positive,,,,
"well trained beautician ,professional service.","['well trained beautician ', 'professional service']",well trained,trained beautician,service_person_attitude,positive,professional service,professional service,Company_Service,positive
"Srinu superb person , nice attitude","['Srinu superb person ', ' nice attitude']",superb,srinu superb,Company_service,positive,nice attitude,nice attitude,service_person_attitude,positive
good working technicians,['good working technicians'],working technicians,good working,service_person_attitude,positive,,,,
user friendly ,['user friendly'],user friendly,user friendly,App_UI,positive,,,,
app is good but not give me painter,"['app is good ', ' not give me painter']",app good,is good,App_Utility,positive,,me painter,,
repaired refrigirator and RO filter very nice experience.,"['repaired refrigirator ', ' RO filter very nice experience']",repaired refrigirator,repaired refrigirator,service_quality,positive,nice experience,ro filter,Company_Service,positive
I am satisfied,['I am satisfied'],satisfied,,Company_Service,positive,,,,
nice service,['nice service'],nice service,nice service,Company_Service,positive,,,,
very useful app,['very useful app'],useful app,useful app,App_Utility,positive,,,,
overall experience good,['overall experience good'],overall experience,overall experience,service_quality,positive,,,,
excellent app,['excellent app'],excellent app,excellent app,App_Utility,positive,,,,
hasselfree services,['hasselfree services'],hasselfree services,hasselfree services,Company_Service,positive,,,,
Very prompt and efficient service,"['Very prompt ', ' efficient service']",prompt,very prompt,service_schedule,positive,efficient service,efficient service,Company_Service,positive
